caseId,arm,orderSeed,repeat,attempt,errorType,message,fullFallback
rh2-adversarial-0004,code_assisted,11,0,1,LLMError,"Could not parse response content as the length limit was reached - CompletionUsage(completion_tokens=1320, prompt_tokens=1858, total_tokens=3178, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=1320, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cache_write_tokens=1855, cached_tokens=0))",false
rh2-budget_multi-0012,code_assisted,11,0,1,LLMError,"Could not parse response content as the length limit was reached - CompletionUsage(completion_tokens=1500, prompt_tokens=2285, total_tokens=3785, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=1500, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cache_write_tokens=2282, cached_tokens=0))",false
rh2-budget_multi-0028,current,11,0,1,LLMError,rerank 가 유효한 후보 id 를 내지 않음,true
rh2-general-0014,code_assisted,11,0,1,LLMError,"Could not parse response content as the length limit was reached - CompletionUsage(completion_tokens=1500, prompt_tokens=5058, total_tokens=6558, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=1500, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cache_write_tokens=5055, cached_tokens=0))",false
rh2-long_tail-0005,current,11,0,1,LLMError,Request timed out.,false
rh2-personalization-0043,code_assisted,11,0,1,LLMError,"Could not parse response content as the length limit was reached - CompletionUsage(completion_tokens=1500, prompt_tokens=5401, total_tokens=6901, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=1500, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cache_write_tokens=5398, cached_tokens=0))",false
rh2-personalization-0044,code_assisted,11,0,1,LLMError,"Could not parse response content as the length limit was reached - CompletionUsage(completion_tokens=1500, prompt_tokens=5324, total_tokens=6824, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=1500, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cache_write_tokens=5321, cached_tokens=0))",false
rh2-repurchase-0008,current,11,0,1,LLMError,Request timed out.,false
rh2-repurchase-0011,current,11,0,1,LLMError,"Could not parse response content as the length limit was reached - CompletionUsage(completion_tokens=1500, prompt_tokens=3687, total_tokens=5187, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=1500, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cache_write_tokens=3684, cached_tokens=0))",false
rh2-repurchase-0016,current,11,0,1,LLMError,"Could not parse response content as the length limit was reached - CompletionUsage(completion_tokens=1500, prompt_tokens=3981, total_tokens=5481, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=1500, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cache_write_tokens=3978, cached_tokens=0))",false
